"","X","Paper","Condition","Subcondition","Neurotypical","Subject.Group","Dual.Task","Treatment","Self.Congruence","Scene","fMRI","ERP","Eye.Track","Agent","Agent.Subclass","Animate","Directional","Perspective.Consistency","Directional.Consistency","Gender.Matched","Target.Perspective","Self.Other.Blocking","Design.Block","Block.Type","Excluded.Mismatch","Explicitly.Tracking.Self","Explicitly.Tracking.Other","Explicitly.NOT.Tracking.Other","Told.Ignore.Stimulus","Spacial.Distribution","Perspective.Eliminated","Learning.Required","Cue.Type","Cue","Social.Cue","Task","Action","Timeout","Virtual.InPerson","Subject","Value","RTorError","StudyNumber","Age","Sex","Matching","PerspectiveSelf","filter_condition"
"37",12668,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_11",0.05555556,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"38",12669,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_11",0.05555556,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"39",12670,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_12",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"40",12671,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_12",0,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"41",12672,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_13",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"42",12673,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_13",0.05555556,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"43",12674,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_14",0,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"44",12675,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_14",0,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
"45",12676,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_15",0.05555556,"Error","2",NA,NA,"match",1,"Pavlidou_2018_2"
"46",12677,"Pavlidou_2018","self_consistent_arrow_RGVS","RGVS_stim","Y","NT","N","RGVS_stim","N","room","N","N","N","arrow","arrow_Pavlidou","N","Y","N","C","N","self","separate","separate","RGVS/LGVS/SHAM","Y","Y","N","N","N","together","N","N","none","none","N","verify","keypress","2000","virtual","Pavlidou_2018_15",0.05555556,"Error","2",NA,NA,"mismatch",1,"Pavlidou_2018_2"
